GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.dates,Dates_assertIsToday_Test,31,75,1,1,10,18,1,7,0,7
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.dates,Dates_assertIsAfterOrEqualsTo_Test,52,93,0,0,14,23,0,11,0,11
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.dates,Dates_assertHasYear_Test,34,63,0,0,10,17,0,7,0,7
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.dates,Dates_assertIsInSameHourAs_Test,54,78,0,0,14,21,0,10,0,10
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.dates,Dates_assertIsInSameHourWindowAs_Test,64,112,0,0,17,30,0,11,0,11
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.dates,Dates_assertIsInSameSecondWindowAs_Test,64,133,0,0,17,30,0,11,0,11
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.dates,Dates_assertIsInSameMonthAs_Test,54,73,0,0,14,19,0,9,0,9
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.dates,Dates_assertIsCloseTo_Test,64,107,0,0,14,22,0,10,0,10
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.dates,Dates_assertIsEqualWithPrecision_Test,65,231,0,0,18,64,0,13,0,13
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.dates,Dates_assertHasHourOfDay_Test,34,68,0,0,10,19,0,8,0,8
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.dates,Dates_assertIsBeforeYear_Test,54,101,0,0,16,29,0,9,0,9
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.dates,Dates_assertIsInSameYearAs_Test,54,73,0,0,14,19,0,9,0,9
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.dates,Dates_assertHasMonth_Test,34,63,0,0,10,17,0,7,0,7
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.dates,Dates_assertHasDayOfWeek_Test,34,63,0,0,10,17,0,7,0,7
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.dates,Dates_assertIsInTheFuture_Test,49,125,1,1,16,32,1,9,0,9
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.dates,Dates_assertIsAfter_Test,72,118,0,0,20,31,0,12,0,12
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.dates,Dates_assertIsInSameSecondAs_Test,54,108,0,0,14,25,0,10,0,10
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.dates,Dates_assertHasDayOfMonth_Test,34,63,0,0,10,17,0,7,0,7
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.dates,Dates_assertHasTime_Test,17,37,0,0,5,10,0,5,0,5
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.dates,Dates_assertIsInSameMinuteWindowAs_Test,64,104,0,0,17,28,0,11,0,11
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.dates,Dates_assertIsBefore_Test,72,113,0,0,20,29,0,11,0,11
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.dates,Dates_assertIsBetween_Test,142,412,0,0,30,106,0,20,0,20
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.dates,Dates_assertIsInThePast_Test,40,120,1,1,13,30,1,8,0,8
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.dates,Dates_assertIsInSameDayAs_Test,54,73,0,0,14,19,0,9,0,9
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.dates,Dates_assertHasMillisecond_Test,34,74,0,0,10,19,0,8,0,8
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.dates,Dates_assertIsInSameMinuteAs_Test,54,78,0,0,14,21,0,10,0,10
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.dates,Dates_assertIsBeforeOrEqualsTo_Test,52,93,0,0,14,23,0,11,0,11
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.dates,Dates_assertIsAfterYear_Test,54,101,0,0,16,29,0,9,0,9
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.dates,Dates_assertHasMinute_Test,34,68,0,0,10,19,0,8,0,8
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.api.atomic.long_,AtomicLongAssert_hasValueCloseTo_withinPercentage_Test,0,36,0,0,0,4,0,3,0,3
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.api.atomic.long_,AtomicLongAssert_hasValueGreaterThan_Test,0,30,0,0,0,4,0,3,0,3
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.api.atomic.long_,AtomicLongAssert_hasValue_Test,12,40,0,0,4,11,0,4,0,4
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.api.atomic.long_,AtomicLongAssert_hasNegativeValue_Test,0,27,0,0,0,4,0,3,0,3
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.api.atomic.long_,AtomicLongAssert_customComparator_Test,0,16,0,0,0,3,0,2,0,2
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.api.atomic.long_,AtomicLongAssert_hasPositiveValue_Test,0,27,0,0,0,4,0,3,0,3
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.api.atomic.long_,AtomicLongAssert_hasNonNegativeValue_Test,0,27,0,0,0,4,0,3,0,3
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.api.atomic.long_,AtomicLongAssert_hasValueBetween_Test,0,33,0,0,0,4,0,3,0,3
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.api.atomic.long_,AtomicLongAssert_info_Test,14,17,0,0,2,4,0,2,0,2
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.api.atomic.long_,AtomicLongAssert_overridingErrorMessage_Test,28,28,0,0,4,6,0,3,0,3
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.api.atomic.long_,AtomicLongAssert_doesNotHaveValue_Test,12,38,0,0,4,10,0,4,0,4
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.api.atomic.long_,AtomicLongAssert_customRepresentation_Test.CustomRepresentation,0,16,0,0,0,2,0,2,0,2
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.api.atomic.long_,AtomicLongAssert_hasValueLessThan_Test,0,30,0,0,0,4,0,3,0,3
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.api.atomic.long_,AtomicLongAssert_hasValueCloseTo_Test,0,36,0,0,0,4,0,3,0,3
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.api.atomic.long_,AtomicLongAssert_hasValueGreaterThanOrEqualTo_Test,0,30,0,0,0,4,0,3,0,3
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.api.atomic.long_,AtomicLongAssert_hasNonPositiveValue_Test,0,27,0,0,0,4,0,3,0,3
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.api.atomic.long_,AtomicLongAssert_hasValueLessThanOrEqualTo_Test,0,30,0,0,0,4,0,3,0,3
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.api.atomic.long_,AtomicLongAssert_isNull_Test,0,12,0,0,0,5,0,2,0,2
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.api.atomic.long_,AtomicLongAssert_customRepresentation_Test,17,15,0,0,2,3,0,2,0,2
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.api.float_,FloatAssert_isPositive_Test,0,26,0,0,0,4,0,3,0,3
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.api.float_,FloatAssert_isEqualTo_float_Test,0,29,0,0,0,4,0,3,0,3
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.api.float_,FloatAssert_isCloseToPercentage_Test,0,42,0,0,0,6,0,3,0,3
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.api.float_,FloatAssert_isNaN_Test,0,26,0,0,0,4,0,3,0,3
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.api.float_,FloatAssert_isNotNaN_Test,0,26,0,0,0,4,0,3,0,3
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.api.float_,FloatAssert_isBetween_Floats_Test,0,34,0,0,0,4,0,3,0,3
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.api.float_,FloatAssert_isNotCloseToPercentage_Test,0,42,0,0,0,6,0,3,0,3
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.api.float_,FloatAssert_isOne_Test,0,26,0,0,0,4,0,3,0,3
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.api.float_,FloatAssert_isLessThanOrEqualTo_float_Test,0,29,0,0,0,4,0,3,0,3
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.api.float_,FloatAssert_isGreaterThanOrEqualTo_float_Test,0,29,0,0,0,4,0,3,0,3
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.api.float_,FloatAssert_isNegative_Test,0,26,0,0,0,4,0,3,0,3
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.api.float_,FloatAssert_isNotZero_Test,24,71,0,0,9,19,0,7,0,7
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.api.float_,FloatAssert_usingDefaultComparator_Test,0,38,0,0,0,8,0,4,0,4
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.api.float_,FloatAssert_isNotNegative_Test,0,26,0,0,0,4,0,3,0,3
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.api.float_,FloatAssert_isNotPositive_Test,0,26,0,0,0,4,0,3,0,3
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.api.float_,FloatAssert_isGreaterThan_float_Test,0,29,0,0,0,4,0,3,0,3
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.api.float_,FloatAssert_isZero_Test,16,67,0,0,6,21,0,8,0,8
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.api.float_,FloatAssert_isCloseTo_float_Test,0,38,0,0,0,5,0,3,0,3
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.api.float_,FloatAssert_isLessThan_float_Test,0,29,0,0,0,4,0,3,0,3
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.api.float_,FloatAssert_usingComparator_Test,0,37,0,0,0,7,0,4,0,4
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.api.float_,FloatAssert_isEqualTo_with_offset_Test,0,45,0,0,0,6,0,3,0,3
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.api.float_,FloatAssert_isNotCloseTo_float_Test,0,38,0,0,0,5,0,3,0,3
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.api.float_,FloatAssert_isNotEqualTo_float_Test,0,29,0,0,0,4,0,3,0,3
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.api.float_,FloatAssert_isStrictlyBetween_Floats_Test,0,34,0,0,0,4,0,3,0,3
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.api.float_,FloatAssert_isEqualTo_float_with_offset_Test,0,38,0,0,0,5,0,3,0,3
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.bytes,Bytes_assertGreaterThanOrEqualTo_Test,38,81,0,0,10,19,0,9,0,9
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.bytes,Bytes_assertNotEqual_Test,38,63,0,0,10,15,0,7,0,7
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.bytes,Bytes_assertLessThanOrEqualTo_Test,38,81,0,0,10,19,0,9,0,9
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.bytes,Bytes_assertIsNotNegative_Test,14,39,0,0,4,11,0,7,0,7
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.bytes,Bytes_assertIsNotPositive_Test,42,41,0,0,12,11,0,9,0,9
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.bytes,Bytes_assertGreaterThan_Test,52,89,0,0,14,20,0,8,0,8
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.bytes,Bytes_assertLessThan_Test,60,97,0,0,16,23,0,9,0,9
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.bytes,Bytes_assertIsOne_Test,28,45,0,0,8,14,0,9,0,9
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.bytes,Bytes_assertIsBetween_Test,44,78,0,0,12,20,2,8,2,8
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.bytes,Bytes_assertIsNotCloseToPercentage_Test,65,79,0,0,14,17,3,6,3,6
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.bytes,Bytes_assertIsCloseTo_Test,37,85,0,0,9,17,2,6,2,6
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.bytes,Bytes_assertIsPositive_Test,28,33,0,0,8,11,0,7,0,7
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.bytes,Bytes_assertIsCloseToPercentage_Test,52,62,0,0,11,13,3,6,3,6
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.bytes,Bytes_assertIsNotCloseTo_Test,48,87,0,0,12,18,2,6,2,6
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.bytes,Bytes_assertIsStrictlyBetween_Test,62,85,0,0,17,22,2,8,2,8
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.bytes,Bytes_assertIsZero_Test,28,45,0,0,8,14,0,9,0,9
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.bytes,Bytes_assertIsNegative_Test,42,34,0,0,12,9,0,8,0,8
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.bytes,Bytes_assertIsNotZero_Test,28,40,0,0,8,11,0,8,0,8
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.bytes,Bytes_assertEqual_Test,38,68,0,0,10,16,0,7,0,7
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.api.character,CharacterAssert_isGreaterThan_char_Test,0,29,0,0,0,4,0,3,0,3
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.api.character,CharacterAssert_isLessThanOrEqualTo_char_Test,0,29,0,0,0,4,0,3,0,3
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.api.character,CharacterAssert_usingDefaultComparator_Test,0,38,0,0,0,8,0,4,0,4
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.api.character,CharacterAssert_isEqualTo_char_Test,0,29,0,0,0,4,0,3,0,3
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.api.character,CharacterAssert_usingComparator_Test,0,37,0,0,0,7,0,4,0,4
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.api.character,CharacterAssert_isNotEqualTo_char_Test,0,29,0,0,0,4,0,3,0,3
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.api.character,CharacterAssert_isLowerCase_Test,0,26,0,0,0,4,0,3,0,3
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.api.character,CharacterAssert_isLessThan_char_Test,0,29,0,0,0,4,0,3,0,3
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.api.character,CharacterAssert_isGreaterThanOrEqualTo_char_Test,0,29,0,0,0,4,0,3,0,3
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.api.character,CharacterAssert_isUpperCase_Test,0,26,0,0,0,4,0,3,0,3
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.bigintegers,BigIntegers_assertLessThan_Test,63,103,0,0,17,26,0,9,0,9
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.bigintegers,BigIntegers_assertIsZero_Test,14,28,0,0,4,8,0,5,0,5
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.bigintegers,BigIntegers_assertIsOne_Test,14,28,0,0,4,8,0,5,0,5
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.bigintegers,BigIntegers_assertIsStrictlyBetween_Test,100,116,0,0,23,26,2,9,2,9
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.bigintegers,BigIntegers_assertNotEqualByComparison_Test,36,55,0,0,10,15,0,7,0,7
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.bigintegers,BigIntegers_assertIsBetween_Test,52,101,0,0,12,19,2,7,2,7
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.bigintegers,BigIntegers_assertIsNotPositive_Test,27,32,0,0,6,8,0,6,0,6
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.bigintegers,BigIntegers_assertIsNotNegative_Test,10,41,0,0,2,10,0,6,0,6
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.bigintegers,BigIntegers_assertLessThanOrEqualTo_Test,29,83,0,0,8,20,0,9,0,9
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.bigintegers,BigIntegers_assertIsCloseTo_Test,63,94,0,0,14,18,2,8,2,8
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.bigintegers,BigIntegers_assertIsNotCloseTo_Test,74,101,0,0,17,24,2,8,2,8
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.bigintegers,BigIntegers_assertIsPositive_Test,21,29,0,0,6,9,0,6,0,6
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.bigintegers,BigIntegers_assertGreaterThan_Test,63,103,0,0,17,26,0,9,0,9
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.bigintegers,BigIntegers_assertNotEqual_Test,36,57,0,0,10,15,0,7,0,7
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.bigintegers,BigIntegers_assertGreaterThanOrEqualTo_Test,29,83,0,0,8,20,0,9,0,9
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.bigintegers,BigIntegers_assertIsNegative_Test,21,35,0,0,6,8,0,6,0,6
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.bigintegers,BigIntegers_assertIsNotZero_Test,14,28,0,0,4,8,0,5,0,5
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.bigintegers,BigIntegers_assertEqualByComparison_Test,36,74,0,0,10,16,0,7,0,7
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.bigintegers,BigIntegers_assertIsNotCloseToPercentage_Test,65,59,0,0,14,14,3,5,3,5
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.bigintegers,BigIntegers_assertIsCloseToPercentage_Test,51,51,0,0,11,10,3,5,3,5
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.bigintegers,BigIntegers_assertEqual_Test,36,62,0,0,10,16,0,7,0,7
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.comparables,Comparables_assertLessThanOrEqualTo_Test,30,77,0,0,8,18,0,8,0,8
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.comparables,Comparables_isStrictlyBetween_Test,144,103,0,0,24,22,0,14,0,14
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.comparables,Comparables_assertGreaterThan_Test,50,91,0,0,14,22,0,8,0,8
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.comparables,Comparables_assertEqualByComparison_Test,33,93,0,0,10,22,0,8,0,8
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.comparables,Comparables_assertNotEqualByComparison_Test,42,99,0,0,10,22,0,8,0,8
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.comparables,Comparables_assertLessThan_Test,50,91,0,0,14,22,0,8,0,8
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.comparables,Comparables_isBetween_Test,118,134,0,0,20,26,0,15,0,15
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.internal.comparables,Comparables_assertGreaterThanOrEqualTo_Test,30,75,0,0,8,18,0,8,0,8
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.api.offsetdatetime,OffsetDateTimeAssert_isEqualTo_Test,41,32,0,0,7,11,0,5,0,5
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.api.offsetdatetime,OffsetDateTimeAssert_isEqualToIgnoringMinutes_Test,33,41,0,0,8,9,0,6,0,6
"assertj-core (Jan 4, 2018 1:37:31 AM)/assertj-core/src/test/java",org.assertj.core.api.offsetdatetime,OffsetDateTimeAssert_isNotEqualTo_Test,30,47,0,0,7,12,0,5,0,5
